Boreal Forests/Taiga
Deserts & Xeric Shrublands
Flooded Grasslands & Savannas
Mangroves
Mediterranean Forests, Woodlands & Scrub
Montane Grasslands & Shrublands
Temperate Broadleaf & Mixed Forests
Temperate Conifer Forests
Temperate Grasslands, Savannas & Shrublands
Tropical & Subtropical Coniferous Forests
Tropical & Subtropical Dry Broadleaf Forests
Tropical & Subtropical Grasslands, Savannas & Shrublands
Tropical & Subtropical Moist Broadleaf Forests
Tundra
