Qiagen DNeasy Powersoil Pro Kit
Zymo Quick-DNA Fecal/Soil Kit
Qiagen MagAttract PowerSoil Pro DNA Kit
HiPurA soil DNA kit 
Conventional extraction
Conventional extraction, CTAB
